sig50Rvs50OM sigExp sig50OM sig90Reward RPEsign EXPsign sig50R OM50sign Rewardsign pureReward pureExp RPE pureExpDir pureRPEDir brainArea mixed other
1 0 0 1 0 1 1 0 1 1 0 0 0 0 RMTg 0 0
1 0 0 1 0 2 1 0 0 1 0 0 0 0 RMTg 0 0
1 0 1 1 0 2 1 1 0 0 0 0 0 0 RMTg 1 0
1 0 1 1 0 2 1 1 0 0 0 0 0 0 RMTg 1 0
1 0 0 1 2 0 1 0 0 1 0 0 0 2 PPTg 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 PPTg 0 1
1 1 1 0 2 0 1 1 0 0 0 1 0 0 PPTg 0 0
1 1 0 1 1 0 1 0 1 0 0 1 0 0 PPTg 0 0
0 0 1 1 2 0 1 1 0 0 0 0 0 2 VP 0 1
0 1 0 1 0 0 0 0 1 0 0 0 0 0 VP 0 1
0 1 1 1 0 2 1 1 0 0 1 0 2 0 RMTg 0 0
0 0 0 0 0 1 0 0 1 0 0 0 0 0 RMTg 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 RMTg 0 1
1 0 0 0 1 0 1 0 1 1 0 0 0 1 RMTg 0 0
0 1 1 1 0 1 0 -1 1 0 1 0 1 0 VS 0 0
0 0 0 0 0 2 0 0 0 0 0 0 0 0 VS 0 1
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 VS 0 1
0 0 0 0 0 0 0 0 1 0 0 0 0 0 St 0 1
0 1 1 1 0 2 1 1 0 0 1 0 2 0 St 0 0
0 0 0 1 0 2 0 0 0 0 1 0 2 0 St 0 0
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 St 0 1
1 0 1 1 0 2 1 1 0 0 0 0 0 0 St 1 0
0 0 0 0 0 1 0 0 1 0 0 0 0 0 St 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 St 0 1
0 0 0 0 1 0 1 0 1 0 0 0 0 1 St 0 1
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 St 0 1
0 0 0 0 1 0 1 0 1 0 0 0 0 1 St 0 1
0 0 0 0 0 0 0 0 1 0 0 0 0 0 St 0 1
0 1 0 0 2 0 1 0 0 0 0 1 0 0 St 0 1
1 1 0 1 0 2 1 0 0 0 0 0 0 0 VS 1 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 RMTg 1 0
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 RMTg 0 1
0 1 1 1 0 2 1 -1 0 0 1 0 2 0 RMTg 0 0
1 1 0 0 2 0 1 0 0 0 0 1 0 0 VS 0 0
0 0 0 0 0 2 0 0 0 0 0 0 0 0 VS 0 1
0 0 1 0 0 0 0 -1 1 0 0 0 0 0 St 0 1
0 0 1 1 0 1 1 -1 1 0 1 0 1 0 St 0 0
1 0 0 1 0 1 1 0 1 1 0 0 0 0 St 0 0
0 1 0 1 0 0 0 0 0 0 0 0 0 0 St 0 1
0 0 0 0 1 0 0 0 1 0 0 0 0 0 St 0 1
0 0 1 0 0 1 0 -1 1 0 0 0 0 0 St 0 1
0 1 0 1 0 0 0 0 0 0 0 0 0 0 VP 0 1
0 0 0 0 1 0 0 0 1 0 0 0 0 0 VP 0 1
1 0 1 1 0 1 1 1 1 0 0 0 0 0 PPTg 1 0
1 1 1 0 0 0 1 1 0 0 0 0 0 0 PPTg 1 0
1 0 0 1 2 0 1 0 0 1 0 0 0 2 PPTg 0 0
0 1 1 1 1 0 1 -1 1 0 0 1 0 0 LH 0 1
0 1 0 1 0 0 0 0 1 0 0 0 0 0 LH 0 1
1 0 1 0 0 1 0 1 1 0 0 0 0 0 LH 1 0
1 0 0 1 0 1 1 0 1 1 0 0 0 0 LH 0 0
1 1 0 1 1 0 1 0 1 0 0 1 0 0 LH 0 0
0 0 0 1 0 1 0 0 1 0 1 0 1 0 PPTg 0 0
0 0 0 0 1 0 1 0 1 0 0 0 0 1 PPTg 0 1
0 0 0 0 0 2 0 0 0 0 0 0 0 0 PPTg 0 1
1 0 0 1 1 0 1 0 1 1 0 0 0 1 PPTg 0 0
0 0 0 1 1 0 1 0 1 0 0 0 0 1 PPTg 0 1
1 0 1 0 1 0 1 1 1 0 0 0 0 1 PPTg 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 PPTg 0 1
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 PPTg 1 0
1 0 1 1 0 1 1 -1 1 0 0 0 0 0 PPTg 1 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 PPTg 0 0
1 0 1 1 0 1 1 -1 1 0 0 0 0 0 PPTg 1 0
1 1 1 0 1 0 1 1 1 0 0 1 0 0 PPTg 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 PPTg 0 1
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 PPTg 0 0
1 0 1 1 0 1 1 -1 1 0 0 0 0 0 VS 1 0
0 1 0 0 0 0 1 0 1 0 0 0 0 0 VS 0 1
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 VS 0 1
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 VS 0 1
0 1 1 1 1 0 1 -1 1 0 0 1 0 0 PPTg 0 1
0 1 1 1 1 0 1 -1 1 0 0 1 0 0 PPTg 0 1
1 1 1 1 0 2 1 1 0 0 0 0 0 0 PPTg 1 0
0 0 0 0 0 1 0 0 1 0 0 0 0 0 PPTg 0 1
0 0 1 1 0 2 1 1 0 0 1 0 2 0 St 0 0
0 0 0 1 1 0 1 0 1 0 0 0 0 1 St 0 1
1 0 0 1 1 0 1 0 1 1 0 0 0 1 St 0 0
0 0 1 1 0 1 0 -1 1 0 1 0 1 0 St 0 0
1 0 1 1 1 0 1 1 1 0 0 0 0 1 LH 1 0
1 1 1 1 1 0 1 1 1 0 0 1 0 0 LH 0 0
1 1 1 1 1 0 1 1 1 0 0 1 0 0 VP 0 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 VP 1 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 VP 1 0
0 0 1 1 0 1 1 -1 1 0 1 0 1 0 VP 0 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 VP 0 0
1 0 1 1 0 2 1 1 0 0 0 0 0 0 LH 1 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 LH 0 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 LH 0 0
0 1 0 1 0 1 0 0 1 0 1 0 1 0 LH 0 0
1 1 0 1 0 1 1 0 1 0 0 0 0 0 LH 1 0
1 0 0 0 1 0 0 0 1 1 0 0 0 0 Ce 0 0
0 0 0 1 2 0 1 0 0 0 0 0 0 2 Ce 0 1
1 0 0 1 1 0 1 0 1 1 0 0 0 1 Ce 0 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 Ce 0 0
1 0 1 1 0 1 1 -1 1 0 0 0 0 0 Ce 1 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 Ce 0 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 Ce 1 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 PPTg 1 0
0 0 0 0 0 2 0 0 0 0 0 0 0 0 PPTg 0 1
1 0 1 1 0 1 1 -1 1 0 0 0 0 0 LH 1 0
0 0 1 0 2 0 0 1 0 0 0 0 0 0 LH 0 1
0 0 1 1 2 0 1 1 0 0 0 0 0 2 LH 0 1
0 0 1 1 0 2 1 1 0 0 1 0 2 0 LH 0 0
0 0 0 1 0 2 1 0 0 0 1 0 2 0 VP 0 0
0 0 0 1 0 1 1 0 1 0 1 0 1 0 VP 0 0
1 0 0 1 0 2 1 0 0 1 0 0 0 0 VP 0 0
0 1 1 1 0 1 0 1 1 0 1 0 1 0 VS 0 0
0 0 1 1 0 1 1 -1 1 0 1 0 1 0 VP 0 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 VP 0 0
0 0 0 1 0 1 0 0 1 0 1 0 1 0 VP 0 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 VP 0 0
1 1 1 0 1 0 1 1 1 0 0 1 0 0 LH 0 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 LH 0 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 LH 1 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 LH 0 0
1 1 1 1 1 0 1 1 1 0 0 1 0 0 LH 0 0
1 1 1 1 1 0 1 1 1 0 0 1 0 0 LH 0 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 LH 0 0
1 0 1 1 1 0 1 1 1 0 0 0 0 1 LH 1 0
1 1 1 1 1 0 1 1 1 0 0 1 0 0 LH 0 0
0 0 1 1 0 2 1 1 0 0 1 0 2 0 VS 0 0
1 0 1 1 0 2 1 1 0 0 0 0 0 0 PPTg 1 0
1 0 1 1 0 2 0 -1 0 0 0 0 0 0 PPTg 1 0
1 1 1 0 0 0 1 1 1 0 0 0 0 0 PPTg 1 0
1 1 1 1 0 2 0 -1 0 0 0 0 0 0 PPTg 1 0
0 0 0 1 0 1 1 0 1 0 1 0 1 0 PPTg 0 0
1 0 1 1 0 1 1 -1 1 0 0 0 0 0 LH 1 0
1 0 0 1 0 1 1 0 1 1 0 0 0 0 LH 0 0
0 0 0 0 0 1 0 0 1 0 0 0 0 0 LH 0 1
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 LH 0 1
0 0 0 0 0 2 0 0 0 0 0 0 0 0 PPTg 0 1
0 1 1 1 0 2 1 1 0 0 1 0 2 0 PPTg 0 0
0 1 0 1 0 2 0 0 0 0 1 0 2 0 PPTg 0 0
0 0 1 1 0 1 1 -1 1 0 1 0 1 0 PPTg 0 0
1 1 0 0 0 0 1 0 0 0 0 0 0 0 PPTg 1 0
1 1 1 1 2 0 1 1 0 0 0 1 0 0 PPTg 0 0
1 0 0 1 0 2 0 0 0 1 0 0 0 0 PPTg 0 0
1 0 1 1 0 2 1 -1 0 0 0 0 0 0 PPTg 1 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 PPTg 0 0
0 0 1 1 1 0 1 -1 1 0 0 0 0 1 PPTg 0 1
1 0 0 1 0 2 1 0 0 1 0 0 0 0 PPTg 0 0
1 1 0 0 2 0 1 0 0 0 0 1 0 0 PPTg 0 0
1 0 1 1 1 0 1 -1 1 0 0 0 0 1 PPTg 1 0
1 0 1 1 0 2 1 1 0 0 0 0 0 0 PPTg 1 0
1 0 0 1 1 0 1 0 1 1 0 0 0 1 PPTg 0 0
1 0 1 1 1 0 1 1 1 0 0 0 0 1 PPTg 1 0
1 0 1 0 1 0 1 1 1 0 0 0 0 1 PPTg 1 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 PPTg 0 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 PPTg 0 0
1 1 1 1 1 0 1 -1 1 0 0 1 0 0 PPTg 0 0
